Nombre,Categoría,Color,Temporada,Altura Promedio (cm),Origen
Rosa,Flor de jardín,Rosa,Primavera-Verano,50,Europa
Tulipán,Flor de jardín,Amarillo,Primavera,30,Turquía
Girasol,Flor de campo,Amarillo,Verano,150,América del Norte
Orquídea,Flor exótica,Púrpura,Todo el año,40,Asia
Margarita,Flor de campo,Blanco-Verde,Primavera-Verano,60,Europa
Lirio,Flor de jardín,Blanco,Verano,90,Asia y Europa
Crisantemo,Flor de jardín,Amarillo,Todo el año,60,Asia
Peonía,Flor de jardín,Rosa,Primavera,70,Europa y Asia
Lavanda,Flor aromática,Morado,Verano,80,Europa
Violeta,Flor de jardín,Azul,Primavera,20,Europa
Amapola,Flor de campo,Roja,Primavera,90,Europa y Asia
Dalia,Flor de jardín,Variedad,Verano,120,México
Azucena,Flor de jardín,Blanco,Verano,100,Asia
Begonia,Flor de jardín,Rojo,Todo el año,30,Asia
Ciclamen,Flor de jardín,Rosa,Invierno,25,Europa
